group_id,input_time,file_t0,file_t3,file_t10,file_t13,target_0h_file,label_0h,dbz_0h,target_1h_file,label_1h,dbz_1h,target_2h_file,label_2h,dbz_2h,target_3h_file,label_3h,dbz_3h,target_0h,target_0h_mode,target_0h_diff_sec,target_1h,target_1h_mode,target_1h_diff_sec,target_2h,target_2h_mode,target_2h_diff_sec,target_3h,target_3h_mode,target_3h_diff_sec
50,2025-08-01 16:40:08,NHB250801164008.RAWLU61,NHB250801164303.RAWLU65,NHB250801165009.RAWLU68,NHB250801165303.RAWLU6C,NHB250801164008.RAWLU61,Light rain,30.76,NHB250801174007.RAWLU7A,Clear,25.32,NHB250801184008.RAWLU8K,Clear,24.04,NHB250801194007.RAWLU9V,Clear,26.33,2025-08-01 16:40:08,Long Range,0.0,2025-08-01 17:40:07,Long Range,1.0,2025-08-01 18:40:08,Long Range,0.0,2025-08-01 19:40:07,Long Range,1.0
51,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,NHB250801170304.RAWLU6K,NHB250801171008.RAWLU6N,NHB250801171303.RAWLU6T,NHB250801170008.RAWLU6F,Clear,29.12,NHB250801180009.RAWLU7R,Clear,26.03,NHB250801190008.RAWLU90,Clear,23.47,NHB250801200008.RAWLUA9,Clear,27.26,2025-08-01 17:00:08,Long Range,0.0,2025-08-01 18:00:09,Long Range,1.0,2025-08-01 19:00:08,Long Range,0.0,2025-08-01 20:00:08,Long Range,0.0
52,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,NHB250801172303.RAWLU70,NHB250801173007.RAWLU73,NHB250801173303.RAWLU77,NHB250801172008.RAWLU6W,Clear,27.52,NHB250801182007.RAWLU85,Clear,24.05,NHB250801192008.RAWLU9E,Clear,25.29,NHB250801202008.RAWLUAP,Clear,28.34,2025-08-01 17:20:08,Long Range,0.0,2025-08-01 18:20:07,Long Range,1.0,2025-08-01 19:20:08,Long Range,0.0,2025-08-01 20:20:08,Long Range,0.0
53,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,NHB250801174303.RAWLU7E,NHB250801175008.RAWLU7H,NHB250801175304.RAWLU7M,NHB250801174007.RAWLU7A,Clear,25.32,NHB250801184008.RAWLU8K,Clear,24.04,NHB250801194007.RAWLU9V,Clear,26.33,NHB250801204008.RAWLUB4,Clear,28.64,2025-08-01 17:40:07,Long Range,0.0,2025-08-01 18:40:08,Long Range,1.0,2025-08-01 19:40:07,Long Range,0.0,2025-08-01 20:40:08,Long Range,1.0
54,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,NHB250801180303.RAWLU7V,NHB250801181008.RAWLU7Y,NHB250801181303.RAWLU82,NHB250801180009.RAWLU7R,Clear,26.03,NHB250801190008.RAWLU90,Clear,23.47,NHB250801200008.RAWLUA9,Clear,27.26,NHB250801210007.RAWLUBJ,Clear,27.78,2025-08-01 18:00:09,Long Range,0.0,2025-08-01 19:00:08,Long Range,1.0,2025-08-01 20:00:08,Long Range,1.0,2025-08-01 21:00:07,Long Range,2.0
55,2025-08-01 18:20:07,NHB250801182007.RAWLU85,NHB250801182303.RAWLU89,NHB250801183008.RAWLU8C,NHB250801183303.RAWLU8G,NHB250801182007.RAWLU85,Clear,24.05,NHB250801192008.RAWLU9E,Clear,25.29,NHB250801202008.RAWLUAP,Clear,28.34,NHB250801212007.RAWLUBZ,Clear,26.26,2025-08-01 18:20:07,Long Range,0.0,2025-08-01 19:20:08,Long Range,1.0,2025-08-01 20:20:08,Long Range,1.0,2025-08-01 21:20:07,Long Range,0.0
56,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,NHB250801184304.RAWLU8P,NHB250801185008.RAWLU8T,NHB250801185304.RAWLU8X,NHB250801184008.RAWLU8K,Clear,24.04,NHB250801194007.RAWLU9V,Clear,26.33,NHB250801204008.RAWLUB4,Clear,28.64,NHB250801214008.RAWLUCD,Clear,26.94,2025-08-01 18:40:08,Long Range,0.0,2025-08-01 19:40:07,Long Range,1.0,2025-08-01 20:40:08,Long Range,0.0,2025-08-01 21:40:08,Long Range,0.0
57,2025-08-01 19:00:08,NHB250801190008.RAWLU90,NHB250801190304.RAWLU94,NHB250801191008.RAWLU97,NHB250801191303.RAWLU9B,NHB250801190008.RAWLU90,Clear,23.47,NHB250801200008.RAWLUA9,Clear,27.26,NHB250801210007.RAWLUBJ,Clear,27.78,NHB250801220007.RAWLUCU,Clear,27.31,2025-08-01 19:00:08,Long Range,0.0,2025-08-01 20:00:08,Long Range,0.0,2025-08-01 21:00:07,Long Range,1.0,2025-08-01 22:00:07,Long Range,1.0
58,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,NHB250801192303.RAWLU9J,NHB250801193007.RAWLU9M,NHB250801193303.RAWLU9S,NHB250801192008.RAWLU9E,Clear,25.29,NHB250801202008.RAWLUAP,Clear,28.34,NHB250801212007.RAWLUBZ,Clear,26.26,NHB250801222008.RAWLUD8,Clear,28.17,2025-08-01 19:20:08,Long Range,0.0,2025-08-01 20:20:08,Long Range,0.0,2025-08-01 21:20:07,Long Range,1.0,2025-08-01 22:20:08,Long Range,0.0
59,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,NHB250801194304.RAWLU9Z,NHB250801195008.RAWLUA2,NHB250801195305.RAWLUA6,NHB250801194007.RAWLU9V,Clear,26.33,NHB250801204008.RAWLUB4,Clear,28.64,NHB250801214008.RAWLUCD,Clear,26.94,NHB250801224008.RAWLUDN,Clear,29.89,2025-08-01 19:40:07,Long Range,0.0,2025-08-01 20:40:08,Long Range,1.0,2025-08-01 21:40:08,Long Range,1.0,2025-08-01 22:40:08,Long Range,1.0
60,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,NHB250801200303.RAWLUAD,NHB250801201008.RAWLUAG,NHB250801201304.RAWLUAL,NHB250801200008.RAWLUA9,Clear,27.26,NHB250801210007.RAWLUBJ,Clear,27.78,NHB250801220007.RAWLUCU,Clear,27.31,NHB250801230007.RAWLUE3,Light rain,30.15,2025-08-01 20:00:08,Long Range,0.0,2025-08-01 21:00:07,Long Range,1.0,2025-08-01 22:00:07,Long Range,1.0,2025-08-01 23:00:07,Long Range,1.0
61,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,NHB250801202303.RAWLUAU,NHB250801203008.RAWLUAX,NHB250801203303.RAWLUB1,NHB250801202008.RAWLUAP,Clear,28.34,NHB250801212007.RAWLUBZ,Clear,26.26,NHB250801222008.RAWLUD8,Clear,28.17,NHB250801232008.RAWLUEH,Clear,27.37,2025-08-01 20:20:08,Long Range,0.0,2025-08-01 21:20:07,Long Range,1.0,2025-08-01 22:20:08,Long Range,0.0,2025-08-01 23:20:08,Long Range,0.0
62,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,NHB250801204304.RAWLUB8,NHB250801205007.RAWLUBB,NHB250801205304.RAWLUBF,NHB250801204008.RAWLUB4,Clear,28.64,NHB250801214008.RAWLUCD,Clear,26.94,NHB250801224008.RAWLUDN,Clear,29.89,NHB250801234007.RAWLUEY,Clear,26.92,2025-08-01 20:40:08,Long Range,0.0,2025-08-01 21:40:08,Long Range,0.0,2025-08-01 22:40:08,Long Range,0.0,2025-08-01 23:40:07,Long Range,1.0
63,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,NHB250801210303.RAWLUBN,NHB250801211008.RAWLUBS,NHB250801211303.RAWLUBW,NHB250801210007.RAWLUBJ,Clear,27.78,NHB250801220007.RAWLUCU,Clear,27.31,NHB250801230007.RAWLUE3,Light rain,30.15,,,,2025-08-01 21:00:07,Long Range,0.0,2025-08-01 22:00:07,Long Range,0.0,2025-08-01 23:00:07,Long Range,0.0,,,424.0
64,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,NHB250801212303.RAWLUC3,NHB250801213008.RAWLUC6,NHB250801213304.RAWLUCA,NHB250801212007.RAWLUBZ,Clear,26.26,NHB250801222008.RAWLUD8,Clear,28.17,NHB250801232008.RAWLUEH,Clear,27.37,,,,2025-08-01 21:20:07,Long Range,0.0,2025-08-01 22:20:08,Long Range,1.0,2025-08-01 23:20:08,Long Range,1.0,,,1624.0
65,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,NHB250801214303.RAWLUCH,NHB250801215008.RAWLUCL,NHB250801215303.RAWLUCR,NHB250801214008.RAWLUCD,Clear,26.94,NHB250801224008.RAWLUDN,Clear,29.89,NHB250801234007.RAWLUEY,Clear,26.92,,,,2025-08-01 21:40:08,Long Range,0.0,2025-08-01 22:40:08,Long Range,0.0,2025-08-01 23:40:07,Long Range,1.0,,,2825.0
66,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,NHB250801220304.RAWLUCY,NHB250801221008.RAWLUD1,NHB250801221304.RAWLUD5,NHB250801220007.RAWLUCU,Clear,27.31,NHB250801230007.RAWLUE3,Light rain,30.15,,,,,,,2025-08-01 22:00:07,Long Range,0.0,2025-08-01 23:00:07,Long Range,0.0,,,424.0,,,4024.0
67,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,NHB250801222304.RAWLUDC,NHB250801223007.RAWLUDF,NHB250801223304.RAWLUDK,NHB250801222008.RAWLUD8,Clear,28.17,NHB250801232008.RAWLUEH,Clear,27.37,,,,,,,2025-08-01 22:20:08,Long Range,0.0,2025-08-01 23:20:08,Long Range,0.0,,,1625.0,,,5225.0
68,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,NHB250801224303.RAWLUDT,NHB250801225007.RAWLUDW,NHB250801225304.RAWLUE0,NHB250801224008.RAWLUDN,Clear,29.89,NHB250801234007.RAWLUEY,Clear,26.92,,,,,,,2025-08-01 22:40:08,Long Range,0.0,2025-08-01 23:40:07,Long Range,1.0,,,2825.0,,,6425.0
69,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,NHB250801230303.RAWLUE7,NHB250801231007.RAWLUEA,NHB250801231304.RAWLUEE,NHB250801230007.RAWLUE3,Light rain,30.15,,,,,,,,,,2025-08-01 23:00:07,Long Range,0.0,,,424.0,,,4024.0,,,7624.0
70,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,NHB250801232303.RAWLUEM,NHB250801233008.RAWLUER,NHB250801233305.RAWLUEV,NHB250801232008.RAWLUEH,Clear,27.37,,,,,,,,,,2025-08-01 23:20:08,Long Range,0.0,,,1625.0,,,5225.0,,,8825.0
71,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,NHB250801234304.RAWLUF2,NHB250801235008.RAWLUF5,NHB250801235303.RAWLUF9,NHB250801234007.RAWLUEY,Clear,26.92,,,,,,,,,,2025-08-01 23:40:07,Long Range,0.0,,,2824.0,,,6424.0,,,10024.0
